Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Always Woodstock,2014,Comedy|Music|Romance,English,USA,,97,,2400000,,Rita Merson,Ryan Guzman,James Wolk,Jason Ritter,485,6,5,5.3
American Heist,2014,Action|Crime|Drama|Thriller,English,Canada,R,94,,10000000,,Sarik Andreasyan,Hayden Christensen,Jordana Brewster,Akon,12372,42,30,5.2
American Sniper,2014,Action|Biography|Drama|History|Thriller|War,English,USA,R,133,2.35,58800000,350123553,Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,325264,916,490,7.3
Amidst the Devil's Wings,2014,Action|Crime|Drama,English,USA,,90,,300000,,Daniel Columbie,Keri Maletto,Nicholas Simmons,Barbie Castro,28,,,4.3
Amnesiac,2014,Drama|Horror|Mystery|Thriller,English,USA,,90,,3000000,,Michael Polish,Olivia Rose Keegan,Patrick Bauchau,Mia Barron,2157,15,30,4.3
An American in Hollywood,2014,Drama,English,USA,R,89,,125000,,Sai Varadan,J.D. Williams,Hassan Johnson,Samantha Esteban,100,3,3,7.2
And So It Goes,2014,Comedy|Drama|Romance,English,USA,PG-13,94,2.35,18000000,15155772,Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,8895,48,107,5.7
Animals,2014,Drama,English,USA,,90,2.35,,,Collin Schiffli,Kim Shaw,John Heard,David Dastmalchian,605,8,22,6.2
Annabelle,2014,Horror|Mystery,English,USA,R,99,2.35,6500000,84263837,John R. Leonetti,Alfre Woodard,Annabelle Wallis,Gabriel Bateman,81699,291,271,5.4
Annie,2014,Comedy|Drama|Family|Musical,English,USA,PG,118,2.39,65000000,85911262,Will Gluck,Quvenzhané Wallis,Dorian Missick,David Zayas,24735,213,176,5.2
"As Above, So Below",2014,Horror|Mystery|Thriller,English,USA,R,93,1.85,5000000,21197315,John Erick Dowdle,Ben Feldman,Edwin Hodge,Perdita Weeks,49948,211,196,6.1
Ask Me Anything,2014,Drama,English,USA,Not Rated,100,,950000,,Allison Burnett,Kimberly Williams-Paisley,Gia Mantegna,Cathryn de Prume,7870,64,8,6
Atlas Shrugged: Who Is John Galt?,2014,Drama|Mystery|Sci-Fi,English,USA,PG-13,99,,5000000,830210,James Manera,Joaquim de Almeida,Greg Germann,Kristoffer Polaha,1900,56,12,4.4
Automata,2014,Action|Sci-Fi|Thriller,English,Bulgaria,R,109,2.35,7000000,,Gabe Ibáñez,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,41638,134,136,6.1
Bang Bang Baby,2014,Drama|Musical|Sci-Fi,English,Canada,,90,,1000000,,Jeffrey St. Jules,Boyd Banks,Chloe Rose,Kristian Bruun,137,16,16,5.4
Barbecue,2014,Comedy,French,France,,98,2.35,,,Eric Lavaine,Lambert Wilson,Julie Engelbrecht,Lionel Abelanski,1673,1,17,6.1
Before I Go to Sleep,2014,Drama|Mystery|Thriller,English,UK,R,92,2.35,22000000,2963012,Rowan Joffe,Colin Firth,Ben Crompton,Anne-Marie Duff,48873,105,149,6.3
Beyond the Lights,2014,Drama|Music,English,USA,PG-13,116,,7000000,14612840,Gina Prince-Bythewood,Minnie Driver,Nate Parker,Darryl Stephens,11191,37,71,6.9
Big Eyes,2014,Biography|Crime|Drama|Romance,English,USA,PG-13,106,1.85,10000000,14479776,Tim Burton,Christoph Waltz,Danny Huston,Jon Polito,55539,147,325,7
Big Hero 6,2014,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,English,USA,PG,102,2.39,165000000,222487711,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,279093,433,384,7.9
Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy|Drama|Romance,English,USA,R,119,1.85,18000000,42335698,Alejandro G. Iñárritu,Emma Stone,Naomi Watts,Merritt Wever,395087,1101,588,7.8
Black or White,2014,Drama,English,USA,PG-13,121,2.35,9000000,21569041,Mike Binder,Jennifer Ehle,Gillian Jacobs,Jillian Estell,8058,57,91,6.6
Blended,2014,Comedy|Romance,English,USA,PG-13,117,1.85,40000000,46280507,Frank Coraci,Bella Thorne,Adam Sandler,Joel McHale,87165,184,173,6.5
Born of War,2014,Action|Drama|Thriller|War,English,UK,R,109,,5000000,,Vicky Jewson,James Frain,Sofia Black-D'Elia,Lisa Kay,237,3,8,4.4
Born to Fly: Elizabeth Streb vs. Gravity,2014,Action|Biography|Documentary|Sport,English,USA,,82,,500000,21199,Catherine Gund,Elizabeth Streb,Sarah Callan,Laura Flanders,40,10,10,6.8
Boyhood,2014,Drama,English,USA,R,165,1.85,4000000,25359200,Richard Linklater,Ellar Coltrane,Lorelei Linklater,Libby Villari,266020,836,548,8
Brick Mansions,2014,Action|Crime|Drama|Thriller,English,France,PG-13,100,2.35,28000000,20285518,Camille Delamarre,Paul Walker,Robert Maillet,RZA,32103,112,177,5.7
Butterfly Girl,2014,Documentary,English,USA,,78,,180000,,Cary Bell,Abigail Evans,Stacie Evans,Emily Gorell,27,1,,8.7
Captain America: The Winter Soldier,2014,Action|Adventure|Sci-Fi,English,USA,PG-13,136,2.35,170000000,259746958,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,496749,742,576,7.8
Closer to the Moon,2014,Comedy|Drama,English,Romania,Not Rated,112,2.35,5000000,,Nae Caranfil,Monica Barladeanu,Joe Armstrong,Martin Hancock,2841,13,18,7.1
Coming Home,2014,Drama,Mandarin,China,PG-13,109,2.35,,377420,Yimou Zhang,Li Gong,Daoming Chen,Ni Yan,2789,20,85,7.3
Da Sweet Blood of Jesus,2014,Comedy|Romance|Thriller,English,USA,,123,2.35,1420000,,Spike Lee,Rami Malek,Elvis Nolasco,Felicia Pearson,794,9,46,4.1
Dawn of the Crescent Moon,2014,Drama|Sci-Fi|Thriller,English,USA,,95,,75000,,Kirk Loudon,Barry Corbin,Johnny Walter,Shiree Nelson,34,2,3,5
Dawn of the Planet of the Apes,2014,Action|Adventure|Drama|Sci-Fi,English,USA,PG-13,130,1.85,170000000,208543795,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,317542,620,521,7.6
Dawn Patrol,2014,Drama|Thriller,English,,,88,2.35,3500000,,Daniel Petrie Jr.,Chris Brochu,Jeff Fahey,Rita Wilson,455,13,9,4.8
Deliver Us from Evil,2014,Horror|Mystery|Thriller,English,USA,R,118,2.35,30000000,30523568,Scott Derrickson,Olivia Munn,Dorian Missick,Edgar Ramírez,54447,201,242,6.2
Desert Dancer,2014,Biography|Drama,English,UK,PG-13,104,2.35,4000000,143653,Richard Raymond,Tom Cullen,Reece Ritchie,Marama Corlett,1177,10,31,6
Destiny,2014,Action|Adventure|Fantasy|Sci-Fi,English,USA,,,,,,Joseph Kosinski,Peter Dinklage,Lauren Cohan,Erick Avari,3089,11,4,8.1
Devil's Due,2014,Horror|Mystery,English,USA,R,89,1.85,7000000,15818967,Matt Bettinelli-Olpin,Zach Gilford,Allison Miller,Vanessa Ray,13913,120,137,4
Divergent,2014,Adventure|Mystery|Sci-Fi,English,USA,PG-13,139,2.35,85000000,150832203,Neil Burger,Kate Winslet,Theo James,Mekhi Phifer,341058,713,459,6.7
Doc Holliday's Revenge,2014,Western,English,USA,PG-13,84,1.78,1000000,,David DeCoteau,William McNamara,Tom Berenger,Randy Jay Burrell,93,6,1,3.8
Dolphin Tale 2,2014,Drama|Family,English,USA,PG,107,1.85,36000000,42019483,Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,6069,33,54,6.4
Dracula Untold,2014,Action|Drama|Fantasy|Horror|War,English,USA,PG-13,92,2.35,70000000,55942830,Gary Shore,Dominic Cooper,Sarah Gadon,Zach McGowan,138582,423,261,6.3
Draft Day,2014,Drama|Sport,English,USA,R,110,2.35,25000000,28831145,Ivan Reitman,Jennifer Garner,Chi McBride,Patrick St. Esprit,39357,113,159,6.8
Dragon Nest: Warriors' Dawn,2014,Adventure|Animation|Family|Fantasy,English,China,,88,,40000000,,Yuefeng Song,Blythe Auffarth,Bianca Collins,Jiao Xu,2169,18,4,6.4
Drive Hard,2014,Action|Comedy|Crime,English,Canada,Not Rated,92,,12000000,,Brian Trenchard-Smith,Zoe Ventoura,Damien Garvey,Christopher Sommers,3104,33,30,4.3
"Dude, Where's My Dog?!",2014,Family,English,USA,PG,82,1.85,20000,,Stephen Langford,Kevin P. Farley,Gabriela Castillo,Brandon Middleton,73,4,2,3.2
Dumb and Dumber To,2014,Comedy,English,USA,PG-13,109,1.85,35000000,86208010,Bobby Farrelly,Bill Murray,Kathleen Turner,Rob Riggle,97045,285,218,5.7
Dwegons and Leprechauns,2014,Animation,English,USA,PG,98,,20000000,,Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,50,3,2,4.8
Dying of the Light,2014,Drama|Thriller,English,Bahamas,R,94,2.35,5000000,,Paul Schrader,Nicolas Cage,Irène Jacob,Tomiwa Edun,6964,47,64,4.4
Earth to Echo,2014,Adventure|Family|Sci-Fi,English,USA,PG,91,1.85,13000000,38916903,Dave Green,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,15664,149,112,5.8
Edge of Tomorrow,2014,Action|Adventure|Sci-Fi,English,USA,PG-13,113,2.35,178000000,100189501,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,431620,741,585,7.9
Elsa & Fred,2014,Comedy|Drama|Romance,English,USA,PG-13,97,2.35,10000000,,Michael Radford,Chris Noth,Jared Gilman,James Brolin,2041,18,59,6.5
Endless Love,2014,Drama|Romance,English,USA,PG-13,104,2.35,20000000,23393765,Shana Feste,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield,31323,76,98,6.3
Escobar: Paradise Lost,2014,Crime|Drama|Romance|Thriller,English,France,R,120,,17000000,106869,Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,13762,39,106,6.6
Exodus: Gods and Kings,2014,Action|Adventure|Drama,English,UK,PG-13,150,2.35,140000000,65007045,Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,128682,657,314,6.1
Exodus: Gods and Kings,2014,Action|Adventure|Drama,English,UK,PG-13,150,2.35,140000000,65007045,Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,128694,657,314,6.1
Falcon Rising,2014,Action|Adventure,English,USA,R,103,,4500000,8691,Ernie Barbarash,Michael Jai White,Michael J. Morris,Lateef Crowder,4952,32,29,5.8
Far from Men,2014,Drama|War|Western,French,France,,101,2.35,7700000,,David Oelhoffen,Viggo Mortensen,Reda Kateb,Ángela Molina,4035,19,102,7.3
Food Chains,2014,Documentary|News,English,USA,,83,,913000,,Sanjay Rawal,Alma Martinez,Robert Kennedy Jr.,Eve Ensler,265,3,9,7.1
Freedom,2014,Drama|Family|Music,English,USA,R,94,,14500000,,Peter Cousens,Sharon Leal,David Rasche,Bart Shatto,993,13,5,6.2
Fugly,2014,Drama|Thriller,Hindi,India,,134,,,,Kabir Sadanand,Jimmy Shergill,Sana Saeed,Dimple Kapadia,781,7,9,4.7
Fury,2014,Action|Drama|War,English,USA,R,134,2.35,68000000,85707116,David Ayer,Brad Pitt,Logan Lerman,Jim Parrack,303185,701,406,7.6
Futuro Beach,2014,Drama,Portuguese,Brazil,Unrated,106,2.35,4000000,20262,Karim Aïnouz,Wagner Moura,Clemens Schick,Jesuíta Barbosa,1738,10,70,6.1
Get on Up,2014,Biography|Drama|Music,English,USA,PG-13,139,1.85,30000000,30513940,Tate Taylor,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,15843,104,165,6.9
Girl House,2014,Horror|Thriller,English,Canada,,99,2.35,3150000,,Jon Knautz,Camren Bicondova,Adam DiMarco,Chasty Ballesteros,4948,33,63,5.5
Give Me Shelter,2014,Documentary,English,USA,,90,,250000,,Kristin Rizzo,Esai Morales,Robert Davi,Elaine Hendrix,37,2,6,8
Gone Girl,2014,Crime|Drama|Mystery|Thriller,English,USA,R,149,2.35,61000000,167735396,David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,569841,1127,568,8.1
Good Kill,2014,Drama|Thriller,English,USA,R,102,2.35,,316842,Andrew Niccol,Bruce Greenwood,Zoë Kravitz,Stafford Douglas,15756,68,166,6.4
Grace of Monaco,2014,Biography|Drama|Romance,English,Switzerland,,103,2.35,30000000,,Olivier Dahan,Paz Vega,Frank Langella,Derek Jacobi,12410,62,132,5.7
Guardians of the Galaxy,2014,Action|Adventure|Sci-Fi,English,USA,PG-13,121,2.35,170000000,333130696,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,682155,1097,653,8.1
H.,2014,Drama|Sci-Fi|Thriller,English,USA,,93,,,,Rania Attieh,Paul Hickert,Robin Bartlett,Rebecca Dayan,191,1,18,6.3
Happy Christmas,2014,Comedy|Drama,English,USA,R,82,1.85,70000,30084,Joe Swanberg,Anna Kendrick,Lena Dunham,Mark Webber,5507,23,65,5.6
Heaven Is for Real,2014,Biography|Drama,English,USA,PG,99,2.35,12000000,91443253,Randall Wallace,Jacob Vargas,Connor Corum,Rob Moran,21034,153,82,5.8
Henry & Me,2014,Animation|Family,English,USA,PG,67,,10000000,,Barrett Esposito,Chazz Palminteri,Cyndi Lauper,Danny Aiello,83,1,3,6.7
Hercules,2014,Action|Adventure,English,USA,PG-13,101,2.35,100000000,72660029,Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,115687,269,245,6
Hercules,2014,Action|Adventure,English,USA,PG-13,101,2.35,100000000,72660029,Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,115687,269,245,6
Hidden Away,2014,Drama|Romance,Spanish,Spain,Unrated,96,2.35,,,Mikel Rueda,Álex Angulo,Germán Alcarazu,Joseba Ugalde,955,7,9,7.2
Hits,2014,Comedy|Drama,English,USA,,96,1.78,1000000,,David Cross,Jason Ritter,Matt Walsh,Amy Sedaris,1359,8,20,5.8
Horrible Bosses 2,2014,Comedy|Crime,English,USA,R,116,2.35,42000000,54414716,Sean Anders,Kevin Spacey,Christoph Waltz,Lindsay Sloane,114294,187,196,6.3
Horse Camp,2014,Family,English,USA,PG,108,,250000,,Joel Paul Reisig,Joshua Ray Bell,Dana Blackstone,Annelyse Ahmad,25,1,1,6.6
House at the End of the Drive,2014,Horror|Thriller,English,USA,R,91,,1400000,,David Worth,Jessica Szohr,Jonathan Mangum,Angela Jones,330,6,4,6.9
Housebound,2014,Comedy|Horror|Mystery,English,New Zealand,Not Rated,107,2.35,350000,,Gerard Johnstone,Morgana O'Reilly,Bruce Hopkins,Cameron Rhodes,23323,83,166,6.8
How to Train Your Dragon 2,2014,Action|Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,102,2.35,145000000,176997107,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,221128,343,292,7.9
I Origins,2014,Drama|Romance|Sci-Fi,English,USA,R,106,2.39,,334658,Mike Cahill,Steven Yeun,Cara Seymour,Venida Evans,75633,160,140,7.3
"I, Frankenstein",2014,Action|Fantasy|Sci-Fi|Thriller,English,Australia,PG-13,92,2.35,65000000,19059018,Stuart Beattie,Caitlin Stasey,Kevin Grevioux,Miranda Otto,65709,194,308,5.1
If I Stay,2014,Drama|Fantasy|Music|Romance,English,USA,PG-13,107,2.35,11000000,50461335,R.J. Cutler,Chloë Grace Moretz,Mireille Enos,Stacy Keach,83893,132,141,6.8
In the Name of the King: The Last Job,2014,Action|Adventure|Fantasy|Thriller,English,Canada,R,86,1.78,3500000,,Uwe Boll,Bashar Rahal,Shelly Varod,Ralitsa Paskaleva,1285,10,17,3.3
Inherent Vice,2014,Comedy|Crime|Drama|Mystery|Romance,English,USA,R,148,1.85,20000000,8093318,Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,61935,242,401,6.7
Interstellar,2014,Adventure|Drama|Sci-Fi,English,USA,PG-13,169,2.35,165000000,187991439,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,928227,2725,712,8.6
Into the Storm,2014,Action|Thriller,English,USA,PG-13,89,1.85,50000000,47553512,Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,54101,210,228,5.8
Into the Woods,2014,Adventure|Comedy|Drama|Fantasy|Musical,English,USA,PG,125,2.39,50000000,127997349,Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,101178,779,321,6
It Follows,2014,Horror|Mystery,English,USA,R,100,2.35,2000000,14673301,David Robert Mitchell,Maika Monroe,Ruby Harris,Jake Weary,112899,631,533,6.9
Jack Ryan: Shadow Recruit,2014,Action|Drama|Thriller,English,USA,PG-13,105,2.35,60000000,50549107,Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,99035,289,313,6.2
Jersey Boys,2014,Biography|Drama|Music|Musical,English,USA,R,134,2.35,40000000,47034272,Clint Eastwood,Johnny Cannizzaro,Steve Schirripa,Scott Vance,25465,190,249,6.9
Jungle Shuffle,2014,Adventure|Animation,English,South Korea,,85,,10000000,,Taedong Park,Drake Bell,Tom Arnold,Amanda Troop,162,2,8,4.8
Kill the Messenger,2014,Biography|Crime|Drama|Mystery|Thriller,English,USA,R,112,2.35,5000000,2445646,Michael Cuesta,Jeremy Renner,Paz Vega,Robert Pralgo,32382,99,163,7
Kung Fu Killer,2014,Action|Drama,Cantonese,China,,100,2.35,25000000,129115,Teddy Chan,Siu-Wong Fan,Charlie Yeung,Wai-Keung Lau,5900,26,65,6.5
La Famille Bélier,2014,Comedy|Drama|Music,French,France,,106,1.85,11000000,,Eric Lartigau,Karin Viard,Eric Elmosnino,François Damiens,15060,27,94,7.4
Left Behind,2014,Action|Drama|Fantasy|Mystery|Thriller,English,USA,PG-13,110,2.35,16000000,13998282,Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,24854,374,169,3.1
Left Behind,2014,Action|Drama|Fantasy|Mystery|Thriller,English,USA,PG-13,110,2.35,16000000,13998282,Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,24854,374,169,3.1
Let's Be Cops,2014,Comedy,English,USA,R,104,1.85,17000000,82389560,Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,106820,147,129,6.5
Let's Kill Ward's Wife,2014,Comedy|Crime,English,USA,Unrated,82,,5000000,,Scott Foley,Donald Faison,Greg Grunberg,Dagmara Dominczyk,4247,11,13,5.4
Light from the Darkroom,2014,Action|Drama|Thriller,English,USA,PG-13,90,,600000,,Lance McDaniel,Russell Wong,Steven Michael Quezada,Lymari Nadal,6,1,,8
Listening,2014,Drama|Sci-Fi|Thriller,English,Cambodia,,100,2.35,,,Khalil Sullins,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger,1933,13,17,5.6
Locker 13,2014,Thriller,English,USA,R,95,1.85,300000,2468,Bruce Dellis,Tatyana Ali,Ricky Schroder,Jon Polito,241,5,10,4.8
Lords of London,2014,Crime|Mystery|Thriller,English,UK,R,90,2.35,3440000,,Antonio Simoncini,Ray Winstone,Joe Egan,Glen Murphy,610,18,3,3.1
Love in the Time of Monsters,2014,Comedy|Horror,English,USA,,97,,500000,,Matt Jackson,Kane Hodder,Paul Elia,Alex Sanborn,143,5,9,5.4
Lucy,2014,Action|Sci-Fi|Thriller,English,France,R,89,2.35,40000000,126546825,Luc Besson,Scarlett Johansson,Morgan Freeman,Amr Waked,327367,918,433,6.4
Maleficent,2014,Action|Adventure|Family|Fantasy|Romance,English,USA,PG,97,2.35,180000000,241407328,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,252257,634,401,7
Million Dollar Arm,2014,Biography|Drama|Sport,English,USA,PG,124,2.39,25000000,36447959,Craig Gillespie,Jon Hamm,Suraj Sharma,Gregory Alan Williams,35833,96,151,7
Miss Julie,2014,Drama|Romance,English,Norway,PG-13,129,,5500000,,Liv Ullmann,Samantha Morton,Jessica Chastain,Colin Farrell,2894,14,88,5.6
Moms' Night Out,2014,Comedy,English,USA,PG,98,2.35,5000000,10429707,Andrew Erwin,Alex Kendrick,Sarah Drew,Patricia Heaton,10483,125,49,5.4
Mr. Peabody & Sherman,2014,Adventure|Animation|Comedy|Family|Sci-Fi,English,USA,PG,92,1.85,145000000,111505642,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,47900,130,196,6.9
Mr. Turner,2014,Biography|Drama|History,English,UK,R,150,2.35,8200000,3958500,Mike Leigh,Lesley Manville,Ruth Sheen,Karl Johnson,17933,165,262,6.8
Muppets Most Wanted,2014,Adventure|Comedy|Crime|Family|Musical,English,USA,PG,119,1.85,50000000,51178893,James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,24285,110,277,6.4
Mutant World,2014,Sci-Fi,English,Canada,,82,,1500000,,David Winning,Ashanti,Amber Marshall,John DeSantis,459,10,4,2.8
Need for Speed,2014,Action|Crime|Drama|Thriller,English,USA,PG-13,132,2.35,66000000,43568507,Scott Waugh,Rami Malek,Dominic Cooper,Ramon Rodriguez,136954,346,327,6.5
Neighbors,2014,Comedy,English,USA,R,97,2.35,18000000,150056505,Nicholas Stoller,Craig Roberts,Carla Gallo,Ike Barinholtz,216581,397,351,6.4
Night at the Museum: Secret of the Tomb,2014,Adventure|Comedy|Family|Fantasy,English,USA,PG,98,1.85,127000000,113733726,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,67223,126,154,6.2
Nightcrawler,2014,Crime|Drama|Thriller,English,USA,R,117,2.35,8500000,32279955,Dan Gilroy,Jake Gyllenhaal,Michael Papajohn,James Huang,293304,552,534,7.9
No Good Deed,2014,Crime|Thriller,English,USA,PG-13,84,2.35,13200000,52543632,Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons,12676,84,58,5.6
Noah,2014,Action|Adventure|Drama,English,USA,PG-13,138,1.85,125000000,101160529,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,200022,1240,434,5.8
Non-Stop,2014,Action|Mystery|Thriller,English,UK,PG-13,106,2.35,50000000,91439400,Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,200647,384,359,7
Not Cool,2014,Comedy,English,USA,Not Rated,93,,600000,35688,Shane Dawson,Shane Dawson,Kurt Angle,Cherami Leigh,4167,72,6,5.1
Obvious Child,2014,Comedy|Drama,English,USA,R,84,2.35,,3122616,Gillian Robespierre,Gaby Hoffmann,Jenny Slate,Jake Lacy,16594,73,155,6.8
Ouija,2014,Fantasy|Horror,English,USA,PG-13,89,2.35,5000000,50820940,Stiles White,Lin Shaye,Shelley Hennig,Daren Kagasoff,31915,159,183,4.4
Out of the Dark,2014,Horror|Thriller,English,USA,R,92,2.35,,,Lluís Quílez,Stephen Rea,Pixie Davies,Alejandro Furth,2621,18,40,4.7
Paddington,2014,Animation|Comedy|Family|Fantasy,English,UK,PG,95,2.35,55000000,76137505,Paul King,Julie Walters,Matt Lucas,Sally Hawkins,49207,174,224,7.2
Paranormal Activity: The Marked Ones,2014,Fantasy|Horror|Thriller,English,USA,R,101,1.78,5000000,32453345,Christopher Landon,Richard Cabral,Gloria Sandoval,Molly Ephraim,31791,155,220,5
Penguins of Madagascar,2014,Adventure|Animation|Comedy|Family,English,USA,PG,92,1.85,132000000,83348920,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,60230,118,153,6.7
Perfect Cowboy,2014,Drama,English,USA,,109,,200000,,Ken Roht,Charla Cochran,Joe Lev,Sienna Beckman,8,,,7
Plastic,2014,Action|Comedy|Crime|Drama,English,UK,R,102,,10000000,,Julian Gilbey,Mem Ferda,Alfie Allen,Malese Jow,5865,12,29,6
Pompeii,2014,Action|Adventure|Drama|History|Romance,English,Canada,PG-13,105,2.35,80000000,23219748,Paul W.S. Anderson,Sasha Roiz,Currie Graham,Dylan Schombing,84508,308,272,5.6
Queen of the Mountains,2014,Action|Biography|Drama|History,English,Kyrgyzstan,PG-13,135,2.35,1400000,,Sadyk Sher-Niyaz,Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev,3144,24,16,8.7
Ramanujan,2014,Biography|Drama|History,English,India,,153,2.35,,,Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,102,1,2,7
Red Sky,2014,Action|Thriller,English,USA,PG-13,100,,25000000,,Mario Van Peebles,Martin Kove,Mario Van Peebles,Jacob Vargas,1084,11,7,4.1
Ride Along,2014,Action|Comedy|Crime|Romance,English,USA,PG-13,99,2.35,25000000,134141530,Tim Story,Bruce McGill,Tika Sumpter,Bryan Callen,75903,109,146,6.2
Rio 2,2014,Adventure|Animation|Comedy|Family|Musical,English,USA,G,101,2.35,103000000,131536019,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,58498,99,159,6.4
Rise of the Entrepreneur: The Search for a Better Way,2014,Documentary,English,USA,G,52,,450000,,Joe Kenemore,Bob Proctor,Jack Canfield,Eric Worre,78,10,,8.2
